Station_Id_C Year_Data Mon_Data Day_Data Hour_Data EVSS V03099 Time_Dev_WQ Lat_Dev Lon_Dev PRS_HWC GPH WIN_D WIN_S TEM DPT DTD
58238 2022 3 15 0 8192.0000 20220314231557 2497.0000 -0.1430 0.4624 91.3000 16861.0000 269.0000 26.0000 -64.9999 999999.0000 999998.0000 
58238 2022 3 15 0 8192.0000 20220314231557 1749.0000 -0.1095 0.1595 223.4000 11268.0000 289.0000 34.5000 -55.9999 -82.6999 26.7000 
58238 2022 3 15 0 8192.0000 20220314231557 958.0000 -0.0096 0.0479 493.2000 5857.0000 299.0000 13.9000 -14.5000 -53.6000 39.1000 
58238 2022 3 15 0 8192.0000 20220314231557 655.0000 0.0051 0.0214 628.4000 3969.0000 307.0000 7.1000 -1.5999 -44.8999 43.3000 
58238 2022 3 15 0 8192.0000 20220314231557 403.0000 0.0100 0.0039 763.4000 2404.0000 283.0000 7.3000 8.4000 -11.0999 19.5000 
58238 2022 3 15 0 8192.0000 20220314231557 1324.0000 -0.0480 0.0905 352.1000 8280.0000 325.0000 21.5000 -35.8999 -59.6999 23.8000 
58238 2022 3 15 0 8192.0000 20220314231557 1320.0000 -0.0469 0.0897 353.6000 8253.0000 325.0000 21.4000 -35.3000 -59.3999 24.0999 
58238 2022 3 15 0 8192.0000 20220314231557 1890.0000 -0.1274 0.2129 190.8000 12340.0000 288.0000 39.8000 -53.9999 -81.3000 27.3000 
58238 2022 3 15 0 8192.0000 20220314231557 1148.0000 -0.0257 0.0704 417.3000 7099.0000 317.0000 14.8000 -25.1999 -46.6999 21.5000 
58238 2022 3 15 0 8192.0000 20220314231557 1206.0000 -0.0319 0.0768 395.1000 7481.0000 321.0000 15.9000 -28.6999 -54.1000 25.4000 
58238 2022 3 15 0 8192.0000 20220314231557 1281.0000 -0.0418 0.0853 367.6000 7989.0000 324.0000 19.2000 -32.8000 -59.3999 26.5999 
58238 2022 3 15 0 8192.0000 20220314231557 375.0000 0.0104 0.0022 779.2000 2231.0000 285.0000 6.6000 8.9000 -5.3999 14.3000 
58238 2022 3 15 0 8192.0000 20220314231557 249.0000 0.0114 -0.0038 853.5000 1458.0000 255.0000 4.0000 15.5000 -6.5999 22.0999 
58238 2022 3 15 0 8192.0000 20220314231557 2387.0000 -0.1424 0.4276 105.8000 16048.0000 273.0000 36.9000 -63.9999 999999.0000 999998.0000 
